jj=119, kk=220, dout(221)=0.000000+j0.000000
jj=120, kk=476, dout(477)=0.000000+j0.000000
jj=121, kk=60, dout(61)=0.000000+j0.000000
jj=122, kk=316, dout(317)=0.000000+j0.000000
jj=123, kk=188, dout(189)=0.000000+j0.000000
jj=124, kk=444, dout(445)=0.000000+j0.000000
jj=125, kk=124, dout(125)=0.000000+j0.000000
jj=126, kk=380, dout(381)=0.000000+j0.000000
jj=127, kk=252, dout(253)=0.000000+j0.000000
jj=128, kk=508, dout(509)=0.000000+j0.000000
jj=129, kk=2, dout(3)=0.000000+j0.000000
jj=130, kk=258, dout(259)=0.000000+j0.000000
jj=131, kk=130, dout(131)=0.000000+j0.000000
jj=132, kk=386, dout(387)=0.000000+j0.000000
jj=133, kk=66, dout(67)=0.000000+j0.000000
jj=134, kk=322, dout(323)=0.000000+j0.000000
jj=135, kk=194, dout(195)=0.000000+j0.000000
jj=136, kk=450, dout(451)=0.000000+j0.000000
jj=137, kk=34, dout(35)=0.000000+j0.000000
jj=138, kk=290, dout(291)=0.000000+j0.000000
jj=139, kk=162, dout(163)=0.000000+j0.000000
jj=140, kk=418, dout(419)=0.000000+j0.000000
jj=141, kk=98, dout(99)=0.000000+j0.000000
jj=142, kk=354, dout(355)=0.000000+j0.000000
jj=143, kk=226, dout(227)=0.000000+j0.000000
jj=144, kk=482, dout(483)=0.000000+j0.000000
jj=145, kk=18, dout(19)=0.000000+j0.000000
jj=146, kk=274, dout(275)=0.000000+j0.000000
jj=147, kk=146, dout(147)=0.000000+j0.000000
jj=148, kk=402, dout(403)=0.000000+j0.000000
jj=149, kk=82, dout(83)=0.000000+j0.000000
jj=150, kk=338, dout(339)=0.000000+j0.000000
jj=151, kk=210, dout(211)=0.000000+j0.000000
jj=152, kk=466, dout(467)=0.000000+j0.000000
jj=153, kk=50, dout(51)=0.000000+j0.000000
jj=154, kk=306, dout(307)=0.000000+j0.000000
jj=155, kk=178, dout(179)=0.000000+j0.000000
jj=156, kk=434, dout(435)=0.000000+j0.000000
jj=157, kk=114, dout(115)=0.000000+j0.000000
jj=158, kk=370, dout(371)=0.000000+j0.000000
jj=159, kk=242, dout(243)=0.000000+j0.000000
jj=160, kk=498, dout(499)=0.000000+j0.000000
jj=161, kk=10, dout(11)=0.000000+j0.000000
jj=162, kk=266, dout(267)=0.000000+j0.000000
jj=163, kk=138, dout(139)=0.000000+j0.000000
jj=164, kk=394, dout(395)=0.000000+j0.000000
jj=165, kk=74, dout(75)=0.000000+j0.000000
jj=166, kk=330, dout(331)=0.000000+j0.000000
jj=167, kk=202, dout(203)=0.000000+j0.000000
jj=168, kk=458, dout(459)=0.000000+j0.000000
jj=169, kk=42, dout(43)=0.000000+j0.000000
jj=170, kk=298, dout(299)=0.000000+j0.000000
jj=171, kk=170, dout(171)=0.000000+j0.000000
jj=172, kk=426, dout(427)=0.000000+j0.000000
jj=173, kk=106, dout(107)=0.000000+j0.000000
jj=174, kk=362, dout(363)=0.000000+j0.000000
jj=175, kk=234, dout(235)=0.000000+j0.000000
jj=176, kk=490, dout(491)=0.000000+j0.000000
jj=177, kk=26, dout(27)=0.000000+j0.000000
jj=178, kk=282, dout(283)=0.000000+j0.000000
jj=179, kk=154, dout(155)=0.000000+j0.000000
jj=180, kk=410, dout(411)=0.000000+j0.000000
jj=181, kk=90, dout(91)=0.000000+j0.000000
jj=182, kk=346, dout(347)=0.000000+j0.000000
jj=183, kk=218, dout(219)=0.000000+j0.000000
jj=184, kk=474, dout(475)=0.000000+j0.000000
jj=185, kk=58, dout(59)=0.000000+j0.000000
jj=186, kk=314, dout(315)=0.000000+j0.000000
jj=187, kk=186, dout(187)=0.000000+j0.000000
jj=188, kk=442, dout(443)=0.000000+j0.000000
jj=189, kk=122, dout(123)=0.000000+j0.000000
jj=190, kk=378, dout(379)=0.000000+j0.000000
jj=191, kk=250, dout(251)=0.000000+j0.000000
jj=192, kk=506, dout(507)=0.000000+j0.000000
jj=193, kk=6, dout(7)=0.000000+j0.000000
jj=194, kk=262, dout(263)=0.000000+j0.000000
jj=195, kk=134, dout(135)=0.000000+j0.000000
jj=196, kk=390, dout(391)=0.000000+j0.000000
jj=197, kk=70, dout(71)=0.000000+j0.000000
jj=198, kk=326, dout(327)=0.000000+j0.000000
jj=199, kk=198, dout(199)=0.000000+j0.000000
jj=200, kk=454, dout(455)=0.000000+j0.000000
jj=201, kk=38, dout(39)=0.000000+j0.000000
jj=202, kk=294, dout(295)=0.000000+j0.000000
jj=203, kk=166, dout(167)=0.000000+j0.000000
jj=204, kk=422, dout(423)=0.000000+j0.000000
jj=205, kk=102, dout(103)=0.000000+j0.000000
jj=206, kk=358, dout(359)=0.000000+j0.000000
jj=207, kk=230, dout(231)=0.000000+j0.000000
jj=208, kk=486, dout(487)=0.000000+j0.000000
jj=209, kk=22, dout(23)=0.000000+j0.000000
jj=210, kk=278, dout(279)=0.000000+j0.000000
jj=211, kk=150, dout(151)=0.000000+j0.000000
jj=212, kk=406, dout(407)=0.000000+j0.000000
jj=213, kk=86, dout(87)=0.000000+j0.000000
jj=214, kk=342, dout(343)=0.000000+j0.000000
jj=215, kk=214, dout(215)=0.000000+j0.000000
jj=216, kk=470, dout(471)=0.000000+j0.000000
jj=217, kk=54, dout(55)=0.000000+j0.000000
jj=218, kk=310, dout(311)=0.000000+j0.000000
jj=219, kk=182, dout(183)=0.000000+j0.000000
jj=220, kk=438, dout(439)=0.000000+j0.000000
jj=221, kk=118, dout(119)=0.000000+j0.000000
jj=222, kk=374, dout(375)=0.000000+j0.000000
jj=223, kk=246, dout(247)=0.000000+j0.000000
jj=224, kk=502, dout(503)=0.000000+j0.000000
jj=225, kk=14, dout(15)=0.000000+j0.000000
jj=226, kk=270, dout(271)=0.000000+j0.000000
jj=227, kk=142, dout(143)=0.000000+j0.000000
jj=228, kk=398, dout(399)=0.000000+j0.000000
jj=229, kk=78, dout(79)=0.000000+j0.000000
jj=230, kk=334, dout(335)=0.000000+j0.000000
jj=231, kk=206, dout(207)=0.000000+j0.000000
jj=232, kk=462, dout(463)=0.000000+j0.000000
jj=233, kk=46, dout(47)=0.000000+j0.000000
jj=234, kk=302, dout(303)=0.000000+j0.000000
jj=235, kk=174, dout(175)=0.000000+j0.000000
jj=236, kk=430, dout(431)=0.000000+j0.000000
jj=237, kk=110, dout(111)=0.000000+j0.000000
jj=238, kk=366, dout(367)=0.000000+j0.000000
jj=239, kk=238, dout(239)=0.000000+j0.000000
jj=240, kk=494, dout(495)=0.000000+j0.000000
jj=241, kk=30, dout(31)=0.000000+j0.000000
jj=242, kk=286, dout(287)=0.000000+j0.000000
jj=243, kk=158, dout(159)=0.000000+j0.000000
jj=244, kk=414, dout(415)=0.000000+j0.000000
jj=245, kk=94, dout(95)=0.000000+j0.000000
jj=246, kk=350, dout(351)=0.000000+j0.000000
jj=247, kk=222, dout(223)=0.000000+j0.000000
jj=248, kk=478, dout(479)=0.000000+j0.000000
jj=249, kk=62, dout(63)=0.000000+j0.000000
jj=250, kk=318, dout(319)=0.000000+j0.000000
jj=251, kk=190, dout(191)=0.000000+j0.000000
jj=252, kk=446, dout(447)=0.000000+j0.000000
jj=253, kk=126, dout(127)=0.000000+j0.000000
jj=254, kk=382, dout(383)=0.000000+j0.000000
jj=255, kk=254, dout(255)=0.000000+j0.000000
jj=256, kk=510, dout(511)=0.000000+j0.000000
jj=257, kk=1, dout(2)=255.500000+j0.008337
jj=258, kk=257, dout(258)=0.000000+j0.019075
jj=259, kk=129, dout(130)=-0.071573+j0.018932
jj=260, kk=385, dout(386)=0.071573+j0.018932
jj=261, kk=65, dout(66)=-0.001797+j-0.015722
jj=262, kk=321, dout(322)=0.090176+j-0.034915
jj=263, kk=193, dout(194)=-0.090176+j-0.034915
jj=264, kk=449, dout(450)=0.001797+j-0.015722
jj=265, kk=33, dout(34)=-0.164839+j0.001481
jj=266, kk=289, dout(290)=0.094648+j0.037672
jj=267, kk=161, dout(162)=-0.083120+j-0.010904
jj=268, kk=417, dout(418)=0.229132+j0.053919
jj=269, kk=97, dout(98)=0.191958+j-0.111912
jj=270, kk=353, dout(354)=0.074365+j-0.066085
jj=271, kk=225, dout(226)=-0.207474+j-0.053491
jj=272, kk=481, dout(482)=0.130543+j0.085187
jj=273, kk=17, dout(18)=-0.011850+j0.031734
jj=274, kk=273, dout(274)=-0.287744+j0.004218
jj=275, kk=145, dout(146)=-0.304374+j-0.050650
jj=276, kk=401, dout(402)=-0.351755+j-0.054377
jj=277, kk=81, dout(82)=-0.236774+j0.045427
jj=278, kk=337, dout(338)=0.045997+j0.002266
jj=279, kk=209, dout(210)=0.231412+j0.047653
jj=280, kk=465, dout(466)=-0.244351+j-0.081585
jj=281, kk=49, dout(50)=-0.092928+j0.067259
jj=282, kk=305, dout(306)=-0.126432+j-0.118057
jj=283, kk=177, dout(178)=-0.138995+j-0.059427
jj=284, kk=433, dout(434)=-0.036228+j0.025331
jj=285, kk=113, dout(114)=0.171566+j-0.006256
jj=286, kk=369, dout(370)=0.109806+j0.108040
jj=287, kk=241, dout(242)=0.252053+j0.066757
jj=288, kk=497, dout(498)=0.197628+j-0.039229
jj=289, kk=9, dout(10)=-0.148017+j0.046119
jj=290, kk=265, dout(266)=-0.169169+j-0.017810
jj=291, kk=137, dout(138)=0.167327+j0.006599
